GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab01-recordando-poo-MarcoAnchiraico_mvn,cs.ing.software.lab1,Prueba,30,7,0,0,7,3,2,1,2,1
lab01-recordando-poo-MarcoAnchiraico_mvn,cs.ing.software.lab1,Camion,20,65,2,2,3,9,2,3,0,3
lab01-recordando-poo-MarcoAnchiraico_mvn,cs.ing.software.lab1,Vehiculo,37,26,1,1,3,8,2,2,1,2
lab01-recordando-poo-MarcoAnchiraico_mvn,cs.ing.software.lab1,Automovil,16,18,1,1,2,5,1,2,0,2
